Text,Label
Win a free gift card now,1
Meeting scheduled for 2 PM,0
URGENT: Your account verification,1
Please review the project report,0
Claim your guaranteed prize money,1
Lunch plans confirmed tomorrow,0
Special offer, click now,1
Remember to submit your hours,0
Click to renew your subscription immediately,1
Congratulations you've won a $1000 voucher,1
Here is the link to the quarterly budget,0
Earn millions working from home today,1
Your package delivery failed, update address,1
Quick question about your vacation dates,0
Did you send the attachment I asked for,0
